Sample,Location,Tissue Source,Myxospore_Density,Counter
S4_0707,Left,Surr_area,1089285.7,Snyder
S4_0707,Left,Surr_area,964285.7,Snyder
S4_0707,Right,Plug,517857.1,Daly
S4_0707,Right,Plug,642857.1,Daly
S4_0708,Left,Surr_area,547445.3,Snyder
S4_0708,Left,Surr_area,547445.3,Snyder
S4_0708,Right,Plug,423728.8,Daly
S4_0708,Right,Plug,476694.9,Daly
S4_0709,Left,Surr_area,229196.1,Snyder
S4_0709,Left,Surr_area,141043.7,Snyder
S4_0709,Right,Plug,230496.5,Daly
S4_0709,Right,Plug,265957.4,Daly
S430_0801,Left,Surr_area,1643786.1,Snyder
S430_0801,Left,Surr_area,1625722.5,Snyder
S430_0801,Right,Surr_area,2104136.9,Snyder
S430_0801,Right,Surr_area,1783166.9,Snyder
S430_0801,Right,Plug,3001464.0,Talmadge
S430_0801,Right,Plug,2708638.0,Talmadge
S430_0805,Right,Plug,2383633.6,Snyder
S430_0805,Right,Plug,2252252.3,Snyder
S430_0805,Left,Plug,2095272.0,Talmadge
S430_0805,Left,Plug,1844556.0,Talmadge
S430_0806,Left,Plug,775613.0,Talmadge
S430_0806,Left,Plug,559163.0,Talmadge
S430_0806,Right,Surr_area,72463.8,Snyder
S430_0806,Right,Surr_area,54347.8,Snyder
S430_0812,Left,Plug,1793400.0,Talmadge
S430_0812,Left,Plug,1811334.0,Talmadge
S430_0812,Right,Plug,1046255.5,Snyder
S430_0812,Right,Plug,1138032.3,Snyder
S430_1204,Left,Plug,876251.8,Snyder
S430_1204,Left,Plug,804721.0,Snyder
S430_1204,Left,Plug,1148148.1,Snyder
S430_1204,Left,Plug,1166666.7,Snyder
S430_1204,Right,Plug,537249.0,Snyder
S430_1204,Right,Plug,519341.0,Snyder
S430_1206,Left,Plug,873751.8,Snyder
S430_1206,Left,Plug,855920.1,Snyder
S430_1206,Right,Plug,386029.0,Snyder
S430_1206,Right,Plug,257353.0,Snyder
S430_1208,Left,Plug,335320.4,Snyder
S430_1208,Left,Plug,391207.2,Snyder
S430_1208,Right,Plug,92456.0,Snyder
S430_1208,Right,Plug,203402.0,Snyder
